id,title,subtitle,intro,poster,pubdate,url,rating,star,star_time
3391258049,How to Begin,Michael Bungay Stanier / 2022,"How to Begin is for you if…
You’re ambitious, but feel you’ve never been given full permission to find and strive for what’s possible for you.
You’ve achieved things in your career, and it’s now time to “climb the second mountain” and think about legacy.
You’re unhappy with how the world is working right now, and you want to change your part of it for the better.
You’re a coach, and you want to support your clients to be great and do great things.
You’re at the start of your adult life, and you’re fired up to live a life of meaning and impact.
You’re ready to begin, and to start doing something that matters.
We unlock our greatness by working on the hard things.
With The Coaching Habit, Michael Bungay Stanier wrote the bestselling coaching book of the century. With The Advice Trap, he showed you how to tame your Advice Monster. Now, he’s here to help you reclaim your ambition, figure out what you should do that matters… and begin.
This is your practical guide to finding the focus and courage to set a Worthy Goal: one that lights you up, compels you to grow, and serves a bigger game by being thrilling, important, and daunting.
With Michael’s trademark humor, compassion, and laser-focused clarity, you’ll walk through a tested process to:
- find and strengthen your Worthy Goal to the very best it can be;
- get absolutely clear on your commitment so you know what you’re up for;
- develop the resources to cross the threshold, so you don’t have to travel alone;
- build momentum, progress, and impact.
Don’t regret a life half-lived. Use this book to start doing something that matters.
***
“Piercingly frank, funny, gorgeous, vulnerable, and ultimately really damn helpful.”
― Julie Lythcott-Haims, New York Times bestselling author of How to Raise an Adult
“Of particular appeal for those of us who instinctively recoil from self-help woo-woo and just want to get on with doing Great Work that leaves the world a bit better than we found it.”
― Courtney Hohne, chief storyteller for Moonshots, X (formerly Google X)
“A friendly voice and a guiding hand.”
― Austin Kleon, New York Times bestselling author of Steal Like an Artist
“Eminently practical, clever, delightful, and beautifully rendered––a non-fiction Where the Wild Things Are for adult dreamers and doers.”
― Whitney Johnson, bestselling author of Smart Growth and Disrupt Yourself
“I loved this book, and that’s coming from a gal who’s never been big on goals.”
― Liz Wiseman, New York Times bestselling author of Impact Players and Multipliers
“Powerful, magical, and compelling. We don't need more time, we simply need to decide.”
― Seth Godin, author, The Practice",https://img9.doubanio.com/view/subject/l/public/s34191928.jpg,2022-1-11,https://book.douban.com/subject/35860667/,0,0,2022-06-16 08:56:40
3386184169,点亮自性之光,克里希那穆提(Jiddu Krishnamurti) / 2017 / 上海社会科学院出版社,"在本书中，克里希那穆提以素有的亲切态度，为读者循序渐进地探索应如何具足自身的能量，去照彻光明自性。克氏强调观察的重要性，认为只有透过自己的眼睛去观察，才是真正的解脱行动。不论他人有多么老练、聪明、博学或是神圣，也不能点亮你的自性之光，除非你能透过自己的领悟和冥想将它点燃。
",https://img9.doubanio.com/view/subject/l/public/s29645009.jpg,2017-11,https://book.douban.com/subject/27609388/,8.8,4.5,2022-06-15 21:34:30
3389259201,The Book of Delights,Ross Gay / 2019 / Algonquin Books,"“Ross Gay’s eye lands upon wonder at every turn, bolstering my belief in the countless small miracles that surround us.” —Tracy K. Smith, Pulitzer Prize winner and U.S. Poet Laureate
The winner of the NBCC Award for Poetry offers up a spirited collection of short lyric essays, written daily over a tumultuous year, reminding us of the purpose and pleasure of praising, extolling, and celebrating ordinary wonders.
In The Book of Delights, one of today’s most original literary voices offers up a genre-defying volume of lyric essays written over one tumultuous year. The first nonfiction book from award-winning poet Ross Gay is a record of the small joys we often overlook in our busy lives. Among Gay’s funny, poetic, philosophical delights: a friend’s unabashed use of air quotes, cradling a tomato seedling aboard an airplane, the silent nod of acknowledgment between the only two black people in a room. But Gay never dismisses the complexities, even the terrors, of living in America as a black man or the ecological and psychic violence of our consumer culture or the loss of those he loves. More than anything other subject, though, Gay celebrates the beauty of the natural world--his garden, the flowers peeking out of the sidewalk, the hypnotic movements of a praying mantis.
The Book of Delights is about our shared bonds, and the rewards that come from a life closely observed. These remarkable pieces serve as a powerful and necessary reminder that we can, and should, stake out a space in our lives for delight.",https://img9.doubanio.com/view/subject/l/public/s33571502.jpg,2019-2-12,https://book.douban.com/subject/34961855/,0,0,2022-06-14 13:32:17
2711119974,How to Do Nothing,Jenny Odell / 2019 / Melville House,"Nothing is harder to do these days than nothing. But in a world where our value is determined by our 24/7 data productivity . . . doing nothing may be our most important form of resistance.
So argues artist and critic Jenny Odell in this field guide to doing nothing (at least as capitalism defines it). Odell sees our attention as the most precious—and overdrawn—resource we have. Once we can start paying a new kind of attention, she writes, we can undertake bolder forms of political action, reimagine humankind’s role in the environment, and arrive at more meaningful understandings of happiness and progress.
Far from the simple anti-technology screed, or the back-to-nature meditation we read so often, How to do Nothing is an action plan for thinking outside of capitalist narratives of efficiency and techno-determinism. Provocative, timely, and utterly persuasive, this book is a four-course meal in the age of Soylent.",https://img9.doubanio.com/view/subject/l/public/s30756295.jpg,2019-4-9,https://book.douban.com/subject/31860916/,6.3,3,2022-06-13 13:11:28
3380291321,荷马史诗,[古希腊] 荷马 / 2016 / 上海译文出版社,"“荷马史诗”相传为古希腊盲诗人荷马所作，是古希腊不朽的英雄史诗，西方古典文化的基石。《伊利亚特》全诗分24卷，15693行，主要叙述的是希腊联军围攻小亚细亚的城市特洛伊的故事，以希腊联军统帅阿伽门农和希腊英雄阿基琉斯的争吵为中心，集中描写了战争结束前五十天发生的事情。希腊英雄阿基琉斯因女俘为主帅阿伽门农所夺，盛怒之下拒绝作战，希腊联军因此受挫。后因好友帕特罗克洛斯战死，阿基琉斯再度披挂上阵，终于杀死特洛伊主将赫克托耳，使希腊联军转败为胜。
《奥德赛》全诗共24卷，12110行，叙述特洛伊战争后，希腊联军英雄、伊萨卡王奥德修斯在海上漂流十年，历经艰难险阻，终于返回故国，夫妻团圆的故事。奥德修斯勇敢机智，在特洛伊战争中献木马计，希腊联军终于获胜。回国途中历尽艰险，先后制服独眼巨神和女巫等，又被女仙卡鲁普索留居岛上7年，最后向先知泰瑞西阿斯问路，始得重返故乡。当时其妻裴奈罗珮正苦于无法摆脱各地求婚者的纠缠，他于是乔装成乞丐，将求婚者全部射死，最后阖家团聚。",https://img9.doubanio.com/view/subject/l/public/s29138438.jpg,2016-10-31,https://book.douban.com/subject/26863402/,8.8,4.5,2022-06-11 13:42:06
3380167712,不吃鸡蛋的人,钱佳楠 / 2018 / 中信出版社,"女孩周允生长在简朴的工人家庭，母亲精明好强，父亲温和懦弱。从童年起，她就被视作母亲改变命运的“稻草”，一直乖巧懂事地成为着父母眼中有出息的孩子——考上重点中学、重点大学，甚至为了省一笔住校费用，假装自己对鸡蛋过敏。直到遇见特立独行的男孩魏叔昂，她渐渐意识到内心暗藏的那个真正的自我。从十几岁到三十岁，她一次次试图跨过成长的深河，成为想成为的自己，坚持一份不被理解的爱情，但复杂的家庭关系，始终是她的阻碍。终于，周允做出了可能会改变自己一生的决定……
******
钱佳楠的书写克制而疏离，即便在最热情的段落里，也依然隐藏着一个冷眼旁观的作者。小说里氤氲着冰冷的空气，任何离别都是合理的，也是必然的。这是一部书写爱的作品：爱意味着接纳加诸在我们身上的限制和约束，使它们成为我们的选择。
——张悦然（著名作家）
******
《不吃鸡蛋的人》是一个家族故事，也是一个女孩子的身体历史和内心史。书中的上海市民家庭被困窘所摄，超出自己掌控的社会变迁磨损了他们，鞭子挥向女儿，带着爱的声响。
——淡豹（著名媒体人、作家）
******
这不单单是这个时代独有的故事。时代总是骤然断裂，骤然碰撞，旧人挣扎着变成新人，适应着新的装束，新的图景，新人又要面临时代变旧，自己被撇到时代边缘。于是有了挽歌，有了诗，有了画，有了钱佳楠的故事。有了凡俗的人世里，一点点难解的关怀。
——韩松落（著名影评人、作家）",https://img9.doubanio.com/view/subject/l/public/s29617777.jpg,2018-1,https://book.douban.com/subject/27252756/,7.4,3.5,2022-06-05 22:31:50
3377723874,小二黑结婚,赵树理 / 2018 / 江苏凤凰文艺出版社,,https://img9.doubanio.com/view/subject/l/public/s33585839.jpg,2018-5,https://book.douban.com/subject/30846531/,7,3.5,2022-06-05 20:59:50
3377725774,我弥留之际,(美) 威廉·福克纳 / 2015 / 译林出版社,"★ “神品妙构”20世纪最佳英文小说
★ 翻译家蓝仁哲弥留呕心译作并长文导读
20世纪美国长篇小说最出色的开篇，属于威廉•福克纳的《我弥留之际》。    ——哈罗德•布鲁姆
1929年，威廉•福克纳发誓：“我将要写的这本书，要么让我成名，要么我再也不碰墨水瓶。”这本书他只花了六周的时间就神品妙构出来，它就是《我弥留之际》。书名取自《奥德赛》中阿伽门农被妻子杀害、灵魂到达地府时的台词。
《我弥留之际》令福克纳一举成名，是福克纳“约克纳帕塔法世系”的重要小说之一。小说由五十九节内心独白构成，多视角讲述美国南方农民本德伦为遵守对妻子的承诺，率全家将妻子的遗体运回家乡安葬的“苦难历程”，被誉为“20世纪美国长篇小说最出色的开篇”。",https://img9.doubanio.com/view/subject/l/public/s27996370.jpg,2015-3,https://book.douban.com/subject/26267258/,8.8,4.5,2022-06-04 05:30:57
3374868589,平面国,[英] 埃德温·A·艾勃特 / 2020 / 上海文化出版社,"很难简单概括《平面国》这本书。
它可以是：首次解释""维度""概念的科普读物、脑洞大开的科幻小说、煞有介事的数学童话、剑走偏锋的精神启蒙、辛辣讽喻英国维多利亚时代的社会寓言。
这本一百年前横空出世的小书，通篇在一本正经地胡说八道，散发着浓浓英式幽默，有趣、迷人，令人捧腹 。
它启发过无数大师，深刻影响了现当代科学。“平面国”已然成为全球范围内的超级文化符号。
*********************************
作者在平面宇宙设定基础上，展开细节详实的“平面国”生活画卷。平面国的各形状居民操心自己的国家社会，就像我们操心自己的日常生活。他们住在平面房子里，通过雾气和光线识别他人，靠彼此触摸识别“角度”区分地位。平面国史上还发生通过染色消除阶级而引发的大事件，比起空间世界的人类历史也不遑多让。
故事的主角，一位体面的正方形先生突然遇到了从三维国前来平面国传福音的“球”。他决定跟随这位导师向平面国传播立体空间的真理，却无法用平面国居民能理解的语言去解释高度和上（而不是北）。被人当做疯子后，他写出了这部传世的《平面国》。
作为读者的我们，将在这个故事中获得上帝视角，得以审视自身，以科学的态度，理解“科学的谦卑”
*************
*** 题 献 ***
写给所有空间中的居民
特别献给H·C
本书的作者是一位谦卑的平面国居民
他一开始只知道两二维的世界
后来才有幸被引入三维的空间
作者把这本书献给天空之国的臣民们
希望本书能激励你们不断立下更高的志向
去探索四维、五维、甚至六维的秘密
立体人，你们是比作者更高级的物种
愿探索能拓宽你们的想象
并孕育出最少见、最卓越的美德——谦虚
—— 本书作者正方形",https://img9.doubanio.com/view/subject/l/public/s33710398.jpg,2020-8,https://book.douban.com/subject/35170896/,9.2,4.5,2022-06-01 22:35:10
3374865046,What I Talk about When I Talk about Running,Haruki Murakami / 2008 / Blackstone Audiobooks,,https://img9.doubanio.com/view/subject/l/public/s20257166.jpg,2008-08,https://book.douban.com/subject/3241808/,8.8,4.5,2022-06-01 09:32:11
